river,country,province
Berezina,BY,Gomel
Berezina,BY,Mahiljou
Berezina,BY,Minsk
Sozh,BY,Gomel
Sozh,BY,Mahiljou
Sozh,UA,Cernihivska
Sozh,R,Smolenskaya
Svislach,BY,Mahiljou
Svislach,BY,Minsk
Svislach,BY,Minsk City
Prypjat,BY,Brest
Prypjat,BY,Gomel
Prypjat,UA,Kyïvska
Prypjat,UA,Rivnenska
Prypjat,UA,Volynska
Styr,BY,Brest
Styr,UA,Lvivska
Styr,UA,Rivnenska
Styr,UA,Volynska
Teteriv,UA,Kyïvska
Teteriv,UA,Zytomyrska
Desna,UA,Cernihivska
Desna,UA,Kyïvska
Desna,UA,Sumska
Desna,R,Bryanskaya
Desna,R,Smolenskaya
Desna,R,Kirovskaya
Seym,UA,Cernihivska
Seym,UA,Sumska
Seym,R,Belgorodskaya
Seym,R,Kurskaya
Psel,UA,Poltavska
Psel,UA,Sumska
Psel,R,Belgorodskaya
Psel,R,Kurskaya
Vorskla,UA,Poltavska
Vorskla,UA,Sumska
Vorskla,R,Belgorodskaya
Vorskla,R,Kurskaya
Inhulets,UA,Chersonska
Inhulets,UA,Dnipropetrovska
Inhulets,UA,Kirovohradska
Inhulets,UA,Mykolaïvska
Kalmius,UA,Donetska
Don,R,Tulskaya
Don,R,Voronezhskaya
Don,R,Lipetskaya
Don,R,Volgogradskaya
Don,R,Rostovskaya
Donets,UA,Charkivska
Donets,UA,Donetska
Donets,UA,Luhanska
Donets,R,Belgorodskaya
Donets,R,Rostovskaya
Manych,R,Kalmykiya
Manych,R,Rostovskaya
Manych,R,Stavropolskiy
East Manych,R,Kalmykiya
East Manych,R,Dagestan
East Manych,R,Stavropolskiy
Oskol,UA,Charkivska
Oskol,UA,Donetska
Oskol,R,Belgorodskaya
Oskol,R,Kurskaya
Kuban,R,Adygeya
Kuban,R,Karachayevo-Cherkesskaya
Kuban,R,Krasnodarskiy
Kuban,R,Stavropolskiy
Volga,R,Ivanovskaya
Volga,R,Kostromskaya
Volga,R,Tverskaya
Volga,R,Yaroslavskaya
Volga,R,Mariy-El
Volga,R,Chuvashia
Volga,R,Nizhnii Novgorodskaya
Volga,R,Astrakhanskaya
Volga,R,Volgogradskaya
Volga,R,Penzenskaya
Volga,R,Samarskaya
Volga,R,Saratovskaya
Volga,R,Ulyanovskaya
Oka,R,Vladimirskaya
Oka,R,Kaluzhskaya
Oka,R,Moskovskaya
Oka,R,Orlovskaya
Oka,R,Ryazanskaya
Oka,R,Tulskaya
Oka,R,Nizhnii Novgorodskaya
Moskva,R,Moscow
Moskva,R,Moskovskaya
Moskva,R,Smolenskaya
Kama,R,Kirovskaya
Kama,R,Tatarstan
Kama,R,Bashkortostan
Kama,R,Udmurtskaya
Kama,R,Permskij
Vyatka,R,Kirovskaya
Vyatka,R,Tatarstan
Vyatka,R,Udmurtskaya
Chusovaya,R,Permskij
Chusovaya,R,Sverdlovskaya
Chusovaya,R,Chelyabinskaya
Belaya,R,Kaliningradskaya
Belaya,R,Tatarstan
Ural,R,Bashkortostan
Ural,R,Orenburgskaya
Ural,R,Chelyabinskaya
